DOMAIN,STATE,ZIPCODE,TIME1,TIME2,VIS1,VIS2,XRN1,XRN2,XRN3,XRN4,XRN5,VAR1,VAR2,VAR3,VAR4,VAR5,TRN_AMT,TOTAL_TRN_AMT,TRN_TYPE
CDRZLKAJIJVQHCN.COM,AO,675,12,12,1,0,0,1,1,0,1,2,1,16.68,34,0,12.95,12.95,LEGIT
NEKSXUK.NET,KK,680,18,18,1,0,0,0,0,0,1,3,0,37.88,23,0,38.85,38.85,LEGIT
XOSOP.COM,UO,432,3,3,1,0,0,1,1,0,1,3,1,-9.08,19,2,38.85,38.85,LEGIT
TMA.COM,KR,119,23,23,0,0,1,0,0,0,3,0,0,-6.392,18,0,11.01,11.01,LEGIT
VUHZRNB.COM,PO,614,9,9,0,0,0,1,0,0,1,3,0,42.512,7,0,12.95,12.95,LEGIT
CIWEVXGWRG.ORG,ROI,386,11,11,0,0,0,1,1,0,1,3,1,-10.096,27,0,49.95,49.95,LEGIT
KZOGEIFBAVSI.NET,LM,127,20,20,0,0,1,0,0,0,2,3,1,15.656,9,9,12.95,12.95,LEGIT
TMA.COM,AR,649,12,12,0,0,1,1,1,0,1,2,0,-38.32,16,0,10.36,10.36,LEGIT
VUHZRNB.COM,BO,308,13,13,0,0,0,1,1,0,2,3,0,33.328,10,0,38.85,38.85,LEGIT
EAYROLLTBU.COM,PO,614,6,6,0,0,1,0,0,0,1,2,0,-43.496,8,0,10.36,10.36,LEGIT
NFGFZIMFI.CCSD,IO,664,9,9,0,0,1,0,0,0,1,2,1,24.248,7,0,38.85,38.85,LEGIT
VUHZRNB.COM,KR,122,3,3,0,0,1,0,0,0,1,3,0,45.112,8,0,38.85,38.85,LEGIT
XOSOP.COM,LM,128,10,10,0,0,1,0,0,1,1,3,1,9.728,8,2,10.36,10.36,LEGIT
VUHZRNB.COM,SK,356,11,11,0,0,0,1,1,0,2,3,1,-50.624,23,0,38.85,38.85,LEGIT
TMA.COM,RONO,362,12,12,0,0,0,1,0,0,1,3,0,-46.184,20,3,12.95,12.95,LEGIT
XOSOP.COM,KR,120,11,11,0,0,1,1,0,0,1,3,1,24.712,20,0,11.01,11.01,LEGIT
NT.ARMY.MIL,ROM,430,12,11,0,0,1,0,0,0,1,0,0,42.408,7,4,12.95,12.95,LEGIT
LGOJRSMT.COM,CR,428,10,10,0,0,1,0,0,0,1,2,0,45.968,9,0,12.95,12.95,LEGIT
